Cluster;Latitude;Longitude
0;-8.96677656427;-56.444279039
1;-19.9527792516;-48.3185597731
2;-7.92709739368;159.012794502
3;-32.5640726016;-40.7081818998
4;-7.82969277757;-73.1362714081
5;-25.8969590189;-45.1729013993
6;-6.49079069176;-33.851216392
7;-6.42710808218;13.0259729306
8;5.82566360355;-76.8977465983
9;-18.4761673047;-139.184598828
